S_no,Country,Tournament,Matches,Saves,Saves_per_game,Goals_conceded,Goals_conceded_per_game,Goals_scored,Goals_per_game,Avg_goal_advantage_per_game,Shots,Shots_per_game,Shots_on_target,shot_on_target_per_game,shorts_on_target_per_short,Fouls_comitted,Fouls_per_game,Fouls_Suffered,Fouls_suffered_per_game,Substitutions,Avg_substitution_per_game,Red Cards,Avg_red_card_per_game,Yellow Cards,Average_yellow_card_per_game,Average_half_time_goals,#_Top_4_finish,#_Top_2_finish,#_Winner,Points_after_group_stage,Top_4_finish
1,Uruguay,WC 2010,7,19,2.714285714,8,1.142857143,11,1.571428571,0.428571429,96,13.71428571,39,5.571428571,0.40625,90,12.85714286,95,13.57142857,15,2.14,2,0.285714286,7,1,0.71,4,2,2,7,1
2,Germany,WC 2010,7,20,2.857142857,3,0.428571429,14,2,1.571428571,91,13,31,4.428571429,0.340659341,68,9.714285714,69,9.857142857,12,1.714285714,1,0.142857143,9,1.285714286,0.85,11,7,3,6,1
3,Portugal,WC 2010,4,,,,,4,1,,40,10,12,3,0.3,38,9.5,34,8.5,4,1,1,0.25,6,1.5,0.25,2,0,0,5,0
4,USA,WC 2010,4,14,3.5,5,1.25,5,1.25,0,54,13.5,20,4,0.37037037,33,8.25,47,11.75,4,1,0,0,4,1,0.25,1,0,0,5,0
5,Spain,WC 2010,7,15,2.142857143,2,0.285714286,3,0.428571429,0.142857143,80,11.42857143,19,2.714285714,0.2375,74,10.57142857,115,16.42857143,15,2.142857143,0,0,8,1.142857143,0.42,1,0,0,6,1
6,Mexico,WC 2010,4,13,3.25,5,1.25,4,1,-0.25,54,13.5,14,3.5,0.259259259,79,19.75,62,12.4,10,2.5,0,0,8,2,0,0,0,0,4,0
7,Paraguay,WC 2010,5,10,2,2,0.4,2,0.4,0,50,10,19,3.8,0.38,65,13,59,11.8,14,2.8,0,0,4,0.8,0.4,0,0,0,5,0
8,Brazil,WC 2014,7,10,1.428571429,14,2,11,1.571428571,-0.428571429,111,15.85714286,72,10.28571429,0.648648649,123,17.57142857,127,18.14285714,21,3,0,0,13,1.857142857,0.57,10,7,5,7,1
9,Mexico,WC 2014,4,10,2.5,3,0.75,5,1.25,0.5,46,11.5,22,5.5,0.47826087,53,13.25,50,12.5,12,3,0,0,8,2,0.25,0,0,0,7,0
10,Chile,WC 2014,4,18,4.5,4,1,6,1.5,0.5,38,9.5,19,4.75,0.5,61,15.25,78,19.5,12,3,0,0,7,1.75,1,1,0,0,6,0
